Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
January 2015,166302682.0,181834199.0,2238694.0,35.3,2376222.5,178350228.0,163942064.4,31.68,31.67967741935484,0.5032907724380493,0.6452445387840271,0.37424182891845703,3.1875081062316895
February 2015,155342139.0,169561960.0,5484017.0,88.0,5444871.8,162701427.4,149713037.2,36.69,36.69464285714286,0.7696613669395447,1.2874335050582886,0.9795690178871155,3.37251615524292
March 2015,169030231.0,178454891.0,11434309.0,139.1,11657984.5,166307998.8,157761392.2,31.3,31.29774193548387,0.7052529454231262,0.8876459002494812,0.30398833751678467,3.343871593475342
April 2015,154113340.0,160907650.0,17741556.0,224.5,17533793.0,142361477.7,136518894.6,29.78,29.77833333333333,0.4283194839954376,0.8314436674118042,0.2141597419977188,3.174603223800659
May 2015,151195903.0,157742225.0,17646277.0,187.0,18293171.1,139520530.3,132877868.8,25.33,25.32967741935484,0.18647439777851105,0.4599701762199402,0.18647439777851105,2.2998507022857666
June 2015,144282328.0,157080291.0,18211293.0,205.4,19012914.0,138719186.6,125308860.2,30.11,30.109,0.3891555368900299,0.752367377281189,0.3372681140899658,2.685173273086548
July 2015,159101320.0,165570368.0,19670012.0,245.1,20219154.9,145890197.1,138893607.4,34.98,34.979032258064514,0.6705232858657837,0.9466210603713989,0.15777018666267395,3.352616310119629
August 2015,156216438.0,160031293.0,18450285.0,246.3,18912768.7,141643915.7,137308110.60000002,31.61,31.61290322580645,0.4676753878593445,0.7840440273284912,0.192572221159935,2.9023382663726807
September 2015,155865463.0,161457668.0,12906267.0,139.9,13267304.0,148509330.9,142584279.8,31.89,31.888666666666666,0.7024519443511963,1.1398277282714844,0.4241219460964203,3.3267064094543457
October 2015,161485166.0,171355194.0,7784481.0,99.4,8240714.7,163088937.10000002,153062732.20000002,39.37,39.36870967741935,0.38995856046676636,1.425786018371582,0.36558616161346436,3.144041061401367
November 2015,163451047.0,173864719.0,4545935.0,67.5,4383166.2,168652744.6,159107909.0,32.38,32.38133333333334,0.722923219203949,1.5115667581558228,0.24973711371421814,4.140378475189209
