"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2017 00:00 - 01.01.2017 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 00:15 - 01.01.2017 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 00:30 - 01.01.2017 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 00:45 - 01.01.2017 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 01:00 - 01.01.2017 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 01:15 - 01.01.2017 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 01:30 - 01.01.2017 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 01:45 - 01.01.2017 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 02:00 - 01.01.2017 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 02:15 - 01.01.2017 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 02:30 - 01.01.2017 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 02:45 - 01.01.2017 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 03:00 - 01.01.2017 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 03:15 - 01.01.2017 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 03:30 - 01.01.2017 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 03:45 - 01.01.2017 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 04:00 - 01.01.2017 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 04:15 - 01.01.2017 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 04:30 - 01.01.2017 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 04:45 - 01.01.2017 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 05:00 - 01.01.2017 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 05:15 - 01.01.2017 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 05:30 - 01.01.2017 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 05:45 - 01.01.2017 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 06:00 - 01.01.2017 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 06:15 - 01.01.2017 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2017 06:30 - 01.01.2017 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2017 06:45 - 01.01.2017 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2017 07:00 - 01.01.2017 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2017 07:15 - 01.01.2017 07:30 (CET/CEST)","1"
"Germany (DE)","01.01.2017 07:30 - 01.01.2017 07:45 (CET/CEST)","1"
"Germany (DE)","01.01.2017 07:45 - 01.01.2017 08:00 (CET/CEST)","1"
