"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2019 00:00 - 01.01.2019 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 00:15 - 01.01.2019 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 00:30 - 01.01.2019 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 00:45 - 01.01.2019 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 01:00 - 01.01.2019 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 01:15 - 01.01.2019 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 01:30 - 01.01.2019 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 01:45 - 01.01.2019 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 02:00 - 01.01.2019 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 02:15 - 01.01.2019 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 02:30 - 01.01.2019 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 02:45 - 01.01.2019 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 03:00 - 01.01.2019 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 03:15 - 01.01.2019 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 03:30 - 01.01.2019 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 03:45 - 01.01.2019 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 04:00 - 01.01.2019 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 04:15 - 01.01.2019 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 04:30 - 01.01.2019 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 04:45 - 01.01.2019 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 05:00 - 01.01.2019 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 05:15 - 01.01.2019 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 05:30 - 01.01.2019 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 05:45 - 01.01.2019 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 06:00 - 01.01.2019 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 06:15 - 01.01.2019 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 06:30 - 01.01.2019 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 06:45 - 01.01.2019 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 07:00 - 01.01.2019 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2019 07:15 - 01.01.2019 07:30 (CET/CEST)","0"
"Germany (DE)","01.01.2019 07:30 - 01.01.2019 07:45 (CET/CEST)","0"
"Germany (DE)","01.01.2019 07:45 - 01.01.2019 08:00 (CET/CEST)","0"
"Germany (DE)","01.01.2019 08:00 - 01.01.2019 08:15 (CET/CEST)","7"
"Germany (DE)","01.01.2019 08:15 - 01.01.2019 08:30 (CET/CEST)","36"
"Germany (DE)","01.01.2019 08:30 - 01.01.2019 08:45 (CET/CEST)","99"
"Germany (DE)","01.01.2019 08:45 - 01.01.2019 09:00 (CET/CEST)","195"
"Germany (DE)","01.01.2019 09:00 - 01.01.2019 09:15 (CET/CEST)","313"
"Germany (DE)","01.01.2019 09:15 - 01.01.2019 09:30 (CET/CEST)","465"
"Germany (DE)","01.01.2019 09:30 - 01.01.2019 09:45 (CET/CEST)","675"
"Germany (DE)","01.01.2019 09:45 - 01.01.2019 10:00 (CET/CEST)","878"
"Germany (DE)","01.01.2019 10:00 - 01.01.2019 10:15 (CET/CEST)","1095"
"Germany (DE)","01.01.2019 10:15 - 01.01.2019 10:30 (CET/CEST)","1281"
"Germany (DE)","01.01.2019 10:30 - 01.01.2019 10:45 (CET/CEST)","1458"
"Germany (DE)","01.01.2019 10:45 - 01.01.2019 11:00 (CET/CEST)","1641"
"Germany (DE)","01.01.2019 11:00 - 01.01.2019 11:15 (CET/CEST)","1787"
"Germany (DE)","01.01.2019 11:15 - 01.01.2019 11:30 (CET/CEST)","2025"
"Germany (DE)","01.01.2019 11:30 - 01.01.2019 11:45 (CET/CEST)","2190"
"Germany (DE)","01.01.2019 11:45 - 01.01.2019 12:00 (CET/CEST)","2211"
"Germany (DE)","01.01.2019 12:00 - 01.01.2019 12:15 (CET/CEST)","2250"
"Germany (DE)","01.01.2019 12:15 - 01.01.2019 12:30 (CET/CEST)","2253"
"Germany (DE)","01.01.2019 12:30 - 01.01.2019 12:45 (CET/CEST)","2241"
"Germany (DE)","01.01.2019 12:45 - 01.01.2019 13:00 (CET/CEST)","2183"
"Germany (DE)","01.01.2019 13:00 - 01.01.2019 13:15 (CET/CEST)","2099"
"Germany (DE)","01.01.2019 13:15 - 01.01.2019 13:30 (CET/CEST)","2097"
"Germany (DE)","01.01.2019 13:30 - 01.01.2019 13:45 (CET/CEST)","2003"
"Germany (DE)","01.01.2019 13:45 - 01.01.2019 14:00 (CET/CEST)","1827"
"Germany (DE)","01.01.2019 14:00 - 01.01.2019 14:15 (CET/CEST)","1615"
"Germany (DE)","01.01.2019 14:15 - 01.01.2019 14:30 (CET/CEST)","1414"
"Germany (DE)","01.01.2019 14:30 - 01.01.2019 14:45 (CET/CEST)","1204"
