"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2021 00:00 - 01.01.2021 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 00:15 - 01.01.2021 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 00:30 - 01.01.2021 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 00:45 - 01.01.2021 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 01:00 - 01.01.2021 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 01:15 - 01.01.2021 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 01:30 - 01.01.2021 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 01:45 - 01.01.2021 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 02:00 - 01.01.2021 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 02:15 - 01.01.2021 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 02:30 - 01.01.2021 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 02:45 - 01.01.2021 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 03:00 - 01.01.2021 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 03:15 - 01.01.2021 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 03:30 - 01.01.2021 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 03:45 - 01.01.2021 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 04:00 - 01.01.2021 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 04:15 - 01.01.2021 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 04:30 - 01.01.2021 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 04:45 - 01.01.2021 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 05:00 - 01.01.2021 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 05:15 - 01.01.2021 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 05:30 - 01.01.2021 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 05:45 - 01.01.2021 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 06:00 - 01.01.2021 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 06:15 - 01.01.2021 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 06:30 - 01.01.2021 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 06:45 - 01.01.2021 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 07:00 - 01.01.2021 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 07:15 - 01.01.2021 07:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 07:30 - 01.01.2021 07:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 07:45 - 01.01.2021 08:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 08:00 - 01.01.2021 08:15 (CET/CEST)","22"
"Germany (DE)","01.01.2021 08:15 - 01.01.2021 08:30 (CET/CEST)","83"
"Germany (DE)","01.01.2021 08:30 - 01.01.2021 08:45 (CET/CEST)","215"
"Germany (DE)","01.01.2021 08:45 - 01.01.2021 09:00 (CET/CEST)","456"
"Germany (DE)","01.01.2021 09:00 - 01.01.2021 09:15 (CET/CEST)","779"
"Germany (DE)","01.01.2021 09:15 - 01.01.2021 09:30 (CET/CEST)","1137"
"Germany (DE)","01.01.2021 09:30 - 01.01.2021 09:45 (CET/CEST)","1565"
"Germany (DE)","01.01.2021 09:45 - 01.01.2021 10:00 (CET/CEST)","1974"
"Germany (DE)","01.01.2021 10:00 - 01.01.2021 10:15 (CET/CEST)","2402"
"Germany (DE)","01.01.2021 10:15 - 01.01.2021 10:30 (CET/CEST)","2803"
"Germany (DE)","01.01.2021 10:30 - 01.01.2021 10:45 (CET/CEST)","3198"
"Germany (DE)","01.01.2021 10:45 - 01.01.2021 11:00 (CET/CEST)","3543"
"Germany (DE)","01.01.2021 11:00 - 01.01.2021 11:15 (CET/CEST)","3860"
"Germany (DE)","01.01.2021 11:15 - 01.01.2021 11:30 (CET/CEST)","4139"
"Germany (DE)","01.01.2021 11:30 - 01.01.2021 11:45 (CET/CEST)","4384"
"Germany (DE)","01.01.2021 11:45 - 01.01.2021 12:00 (CET/CEST)","4567"
"Germany (DE)","01.01.2021 12:00 - 01.01.2021 12:15 (CET/CEST)","4786"
"Germany (DE)","01.01.2021 12:15 - 01.01.2021 12:30 (CET/CEST)","4885"
"Germany (DE)","01.01.2021 12:30 - 01.01.2021 12:45 (CET/CEST)","4874"
"Germany (DE)","01.01.2021 12:45 - 01.01.2021 13:00 (CET/CEST)","4762"
"Germany (DE)","01.01.2021 13:00 - 01.01.2021 13:15 (CET/CEST)","4571"
"Germany (DE)","01.01.2021 13:15 - 01.01.2021 13:30 (CET/CEST)","4389"
"Germany (DE)","01.01.2021 13:30 - 01.01.2021 13:45 (CET/CEST)","4159"
"Germany (DE)","01.01.2021 13:45 - 01.01.2021 14:00 (CET/CEST)","3818"
"Germany (DE)","01.01.2021 14:00 - 01.01.2021 14:15 (CET/CEST)","3382"
"Germany (DE)","01.01.2021 14:15 - 01.01.2021 14:30 (CET/CEST)","2954"
"Germany (DE)","01.01.2021 14:30 - 01.01.2021 14:45 (CET/CEST)","2508"
"Germany (DE)","01.01.2021 14:45 - 01.01.2021 15:00 (CET/CEST)","2056"
"Germany (DE)","01.01.2021 15:00 - 01.01.2021 15:15 (CET/CEST)","1596"
"Germany (DE)","01.01.2021 15:15 - 01.01.2021 15:30 (CET/CEST)","1123"
"Germany (DE)","01.01.2021 15:30 - 01.01.2021 15:45 (CET/CEST)","699"
"Germany (DE)","01.01.2021 15:45 - 01.01.2021 16:00 (CET/CEST)","361"
"Germany (DE)","01.01.2021 16:00 - 01.01.2021 16:15 (CET/CEST)","139"
"Germany (DE)","01.01.2021 16:15 - 01.01.2021 16:30 (CET/CEST)","33"
"Germany (DE)","01.01.2021 16:30 - 01.01.2021 16:45 (CET/CEST)","3"
"Germany (DE)","01.01.2021 16:45 - 01.01.2021 17:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 17:00 - 01.01.2021 17:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 17:15 - 01.01.2021 17:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 17:30 - 01.01.2021 17:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 17:45 - 01.01.2021 18:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 18:00 - 01.01.2021 18:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 18:15 - 01.01.2021 18:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 18:30 - 01.01.2021 18:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 18:45 - 01.01.2021 19:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 19:00 - 01.01.2021 19:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 19:15 - 01.01.2021 19:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 19:30 - 01.01.2021 19:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 19:45 - 01.01.2021 20:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 20:00 - 01.01.2021 20:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 20:15 - 01.01.2021 20:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 20:30 - 01.01.2021 20:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 20:45 - 01.01.2021 21:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 21:00 - 01.01.2021 21:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 21:15 - 01.01.2021 21:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 21:30 - 01.01.2021 21:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 21:45 - 01.01.2021 22:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 22:00 - 01.01.2021 22:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 22:15 - 01.01.2021 22:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 22:30 - 01.01.2021 22:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 22:45 - 01.01.2021 23:00 (CET/CEST)","0"
"Germany (DE)","01.01.2021 23:00 - 01.01.2021 23:15 (CET/CEST)","0"
"Germany (DE)","01.01.2021 23:15 - 01.01.2021 23:30 (CET/CEST)","0"
"Germany (DE)","01.01.2021 23:30 - 01.01.2021 23:45 (CET/CEST)","0"
"Germany (DE)","01.01.2021 23:45 - 02.01.2021 00:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 00:00 - 02.01.2021 00:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 00:15 - 02.01.2021 00:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 00:30 - 02.01.2021 00:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 00:45 - 02.01.2021 01:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 01:00 - 02.01.2021 01:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 01:15 - 02.01.2021 01:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 01:30 - 02.01.2021 01:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 01:45 - 02.01.2021 02:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 02:00 - 02.01.2021 02:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 02:15 - 02.01.2021 02:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 02:30 - 02.01.2021 02:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 02:45 - 02.01.2021 03:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 03:00 - 02.01.2021 03:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 03:15 - 02.01.2021 03:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 03:30 - 02.01.2021 03:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 03:45 - 02.01.2021 04:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 04:00 - 02.01.2021 04:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 04:15 - 02.01.2021 04:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 04:30 - 02.01.2021 04:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 04:45 - 02.01.2021 05:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 05:00 - 02.01.2021 05:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 05:15 - 02.01.2021 05:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 05:30 - 02.01.2021 05:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 05:45 - 02.01.2021 06:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 06:00 - 02.01.2021 06:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 06:15 - 02.01.2021 06:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 06:30 - 02.01.2021 06:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 06:45 - 02.01.2021 07:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 07:00 - 02.01.2021 07:15 (CET/CEST)","0"
"Germany (DE)","02.01.2021 07:15 - 02.01.2021 07:30 (CET/CEST)","0"
"Germany (DE)","02.01.2021 07:30 - 02.01.2021 07:45 (CET/CEST)","0"
"Germany (DE)","02.01.2021 07:45 - 02.01.2021 08:00 (CET/CEST)","0"
"Germany (DE)","02.01.2021 08:00 - 02.01.2021 08:15 (CET/CEST)","35"
"Germany (DE)","02.01.2021 08:15 - 02.01.2021 08:30 (CET/CEST)","75"
"Germany (DE)","02.01.2021 08:30 - 02.01.2021 08:45 (CET/CEST)","173"
"Germany (DE)","02.01.2021 08:45 - 02.01.2021 09:00 (CET/CEST)","335"
"Germany (DE)","02.01.2021 09:00 - 02.01.2021 09:15 (CET/CEST)","562"
"Germany (DE)","02.01.2021 09:15 - 02.01.2021 09:30 (CET/CEST)","835"
"Germany (DE)","02.01.2021 09:30 - 02.01.2021 09:45 (CET/CEST)","1110"
"Germany (DE)","02.01.2021 09:45 - 02.01.2021 10:00 (CET/CEST)","1421"
"Germany (DE)","02.01.2021 10:00 - 02.01.2021 10:15 (CET/CEST)","1735"
