"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2018 00:00 - 01.01.2018 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 00:15 - 01.01.2018 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 00:30 - 01.01.2018 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 00:45 - 01.01.2018 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 01:00 - 01.01.2018 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 01:15 - 01.01.2018 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 01:30 - 01.01.2018 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 01:45 - 01.01.2018 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 02:00 - 01.01.2018 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 02:15 - 01.01.2018 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 02:30 - 01.01.2018 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 02:45 - 01.01.2018 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 03:00 - 01.01.2018 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 03:15 - 01.01.2018 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 03:30 - 01.01.2018 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 03:45 - 01.01.2018 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 04:00 - 01.01.2018 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 04:15 - 01.01.2018 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 04:30 - 01.01.2018 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 04:45 - 01.01.2018 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 05:00 - 01.01.2018 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 05:15 - 01.01.2018 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 05:30 - 01.01.2018 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 05:45 - 01.01.2018 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 06:00 - 01.01.2018 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 06:15 - 01.01.2018 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 06:30 - 01.01.2018 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 06:45 - 01.01.2018 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 07:00 - 01.01.2018 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 07:15 - 01.01.2018 07:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 07:30 - 01.01.2018 07:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 07:45 - 01.01.2018 08:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 08:00 - 01.01.2018 08:15 (CET/CEST)","2"
"Germany (DE)","01.01.2018 08:15 - 01.01.2018 08:30 (CET/CEST)","28"
"Germany (DE)","01.01.2018 08:30 - 01.01.2018 08:45 (CET/CEST)","181"
"Germany (DE)","01.01.2018 08:45 - 01.01.2018 09:00 (CET/CEST)","483"
"Germany (DE)","01.01.2018 09:00 - 01.01.2018 09:15 (CET/CEST)","888"
"Germany (DE)","01.01.2018 09:15 - 01.01.2018 09:30 (CET/CEST)","1291"
"Germany (DE)","01.01.2018 09:30 - 01.01.2018 09:45 (CET/CEST)","1768"
"Germany (DE)","01.01.2018 09:45 - 01.01.2018 10:00 (CET/CEST)","2313"
"Germany (DE)","01.01.2018 10:00 - 01.01.2018 10:15 (CET/CEST)","2946"
"Germany (DE)","01.01.2018 10:15 - 01.01.2018 10:30 (CET/CEST)","3716"
"Germany (DE)","01.01.2018 10:30 - 01.01.2018 10:45 (CET/CEST)","4431"
"Germany (DE)","01.01.2018 10:45 - 01.01.2018 11:00 (CET/CEST)","5054"
"Germany (DE)","01.01.2018 11:00 - 01.01.2018 11:15 (CET/CEST)","5467"
"Germany (DE)","01.01.2018 11:15 - 01.01.2018 11:30 (CET/CEST)","5947"
"Germany (DE)","01.01.2018 11:30 - 01.01.2018 11:45 (CET/CEST)","6242"
"Germany (DE)","01.01.2018 11:45 - 01.01.2018 12:00 (CET/CEST)","6344"
"Germany (DE)","01.01.2018 12:00 - 01.01.2018 12:15 (CET/CEST)","6558"
"Germany (DE)","01.01.2018 12:15 - 01.01.2018 12:30 (CET/CEST)","6441"
"Germany (DE)","01.01.2018 12:30 - 01.01.2018 12:45 (CET/CEST)","6321"
"Germany (DE)","01.01.2018 12:45 - 01.01.2018 13:00 (CET/CEST)","6317"
"Germany (DE)","01.01.2018 13:00 - 01.01.2018 13:15 (CET/CEST)","6108"
"Germany (DE)","01.01.2018 13:15 - 01.01.2018 13:30 (CET/CEST)","5887"
"Germany (DE)","01.01.2018 13:30 - 01.01.2018 13:45 (CET/CEST)","5504"
"Germany (DE)","01.01.2018 13:45 - 01.01.2018 14:00 (CET/CEST)","5241"
"Germany (DE)","01.01.2018 14:00 - 01.01.2018 14:15 (CET/CEST)","4810"
"Germany (DE)","01.01.2018 14:15 - 01.01.2018 14:30 (CET/CEST)","4310"
"Germany (DE)","01.01.2018 14:30 - 01.01.2018 14:45 (CET/CEST)","3789"
"Germany (DE)","01.01.2018 14:45 - 01.01.2018 15:00 (CET/CEST)","3204"
"Germany (DE)","01.01.2018 15:00 - 01.01.2018 15:15 (CET/CEST)","2542"
"Germany (DE)","01.01.2018 15:15 - 01.01.2018 15:30 (CET/CEST)","1872"
"Germany (DE)","01.01.2018 15:30 - 01.01.2018 15:45 (CET/CEST)","1200"
"Germany (DE)","01.01.2018 15:45 - 01.01.2018 16:00 (CET/CEST)","576"
"Germany (DE)","01.01.2018 16:00 - 01.01.2018 16:15 (CET/CEST)","146"
"Germany (DE)","01.01.2018 16:15 - 01.01.2018 16:30 (CET/CEST)","13"
"Germany (DE)","01.01.2018 16:30 - 01.01.2018 16:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 16:45 - 01.01.2018 17:00 (CET/CEST)","4"
"Germany (DE)","01.01.2018 17:00 - 01.01.2018 17:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 17:15 - 01.01.2018 17:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 17:30 - 01.01.2018 17:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 17:45 - 01.01.2018 18:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 18:00 - 01.01.2018 18:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 18:15 - 01.01.2018 18:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 18:30 - 01.01.2018 18:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 18:45 - 01.01.2018 19:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 19:00 - 01.01.2018 19:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 19:15 - 01.01.2018 19:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 19:30 - 01.01.2018 19:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 19:45 - 01.01.2018 20:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 20:00 - 01.01.2018 20:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 20:15 - 01.01.2018 20:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 20:30 - 01.01.2018 20:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 20:45 - 01.01.2018 21:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 21:00 - 01.01.2018 21:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 21:15 - 01.01.2018 21:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 21:30 - 01.01.2018 21:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 21:45 - 01.01.2018 22:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 22:00 - 01.01.2018 22:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 22:15 - 01.01.2018 22:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 22:30 - 01.01.2018 22:45 (CET/CEST)","0"
"Germany (DE)","01.01.2018 22:45 - 01.01.2018 23:00 (CET/CEST)","0"
"Germany (DE)","01.01.2018 23:00 - 01.01.2018 23:15 (CET/CEST)","0"
"Germany (DE)","01.01.2018 23:15 - 01.01.2018 23:30 (CET/CEST)","0"
"Germany (DE)","01.01.2018 23:30 - 01.01.2018 23:45 (CET/CEST)","0"
