"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2015 00:00 - 01.01.2015 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 00:15 - 01.01.2015 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 00:30 - 01.01.2015 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 00:45 - 01.01.2015 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 01:00 - 01.01.2015 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 01:15 - 01.01.2015 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 01:30 - 01.01.2015 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 01:45 - 01.01.2015 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 02:00 - 01.01.2015 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 02:15 - 01.01.2015 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 02:30 - 01.01.2015 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 02:45 - 01.01.2015 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 03:00 - 01.01.2015 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 03:15 - 01.01.2015 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 03:30 - 01.01.2015 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 03:45 - 01.01.2015 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 04:00 - 01.01.2015 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 04:15 - 01.01.2015 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 04:30 - 01.01.2015 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 04:45 - 01.01.2015 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 05:00 - 01.01.2015 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2015 05:15 - 01.01.2015 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2015 05:30 - 01.01.2015 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2015 05:45 - 01.01.2015 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2015 06:00 - 01.01.2015 06:15 (CET/CEST)","0"
