"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST)","3"
"Germany (DE)","01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST)","3"
"Germany (DE)","01.01.2023 18:00 - 01.01.2023 18:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:15 - 01.01.2023 18:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:30 - 01.01.2023 18:45 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:45 - 01.01.2023 19:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:00 - 01.01.2023 19:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:15 - 01.01.2023 19:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:30 - 01.01.2023 19:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:45 - 01.01.2023 20:00 (CET/CEST)","2"
"Germany (DE)","01.01.2023 20:00 - 01.01.2023 20:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 20:15 - 01.01.2023 20:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 20:30 - 01.01.2023 20:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 20:45 - 01.01.2023 21:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 21:00 - 01.01.2023 21:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 21:15 - 01.01.2023 21:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 21:30 - 01.01.2023 21:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 21:45 - 01.01.2023 22:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 22:00 - 01.01.2023 22:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 22:15 - 01.01.2023 22:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 22:30 - 01.01.2023 22:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 22:45 - 01.01.2023 23:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 23:00 - 01.01.2023 23:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 23:15 - 01.01.2023 23:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 23:30 - 01.01.2023 23:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 23:45 - 02.01.2023 00:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 00:00 - 02.01.2023 00:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 00:15 - 02.01.2023 00:30 (CET/CEST)","2"
"Germany (DE)","02.01.2023 00:30 - 02.01.2023 00:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 00:45 - 02.01.2023 01:00 (CET/CEST)","2"
"Germany (DE)","02.01.2023 01:00 - 02.01.2023 01:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 01:15 - 02.01.2023 01:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 01:30 - 02.01.2023 01:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 01:45 - 02.01.2023 02:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 02:00 - 02.01.2023 02:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 02:15 - 02.01.2023 02:30 (CET/CEST)","2"
"Germany (DE)","02.01.2023 02:30 - 02.01.2023 02:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 02:45 - 02.01.2023 03:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 03:00 - 02.01.2023 03:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 03:15 - 02.01.2023 03:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 03:30 - 02.01.2023 03:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 03:45 - 02.01.2023 04:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 04:00 - 02.01.2023 04:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 04:15 - 02.01.2023 04:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 04:30 - 02.01.2023 04:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 04:45 - 02.01.2023 05:00 (CET/CEST)","2"
"Germany (DE)","02.01.2023 05:00 - 02.01.2023 05:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 05:15 - 02.01.2023 05:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 05:30 - 02.01.2023 05:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 05:45 - 02.01.2023 06:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 06:00 - 02.01.2023 06:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 06:15 - 02.01.2023 06:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 06:30 - 02.01.2023 06:45 (CET/CEST)","2"
"Germany (DE)","02.01.2023 06:45 - 02.01.2023 07:00 (CET/CEST)","2"
"Germany (DE)","02.01.2023 07:00 - 02.01.2023 07:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 07:15 - 02.01.2023 07:30 (CET/CEST)","2"
"Germany (DE)","02.01.2023 07:30 - 02.01.2023 07:45 (CET/CEST)","2"
"Germany (DE)","02.01.2023 07:45 - 02.01.2023 08:00 (CET/CEST)","3"
"Germany (DE)","02.01.2023 08:00 - 02.01.2023 08:15 (CET/CEST)","7"
"Germany (DE)","02.01.2023 08:15 - 02.01.2023 08:30 (CET/CEST)","104"
"Germany (DE)","02.01.2023 08:30 - 02.01.2023 08:45 (CET/CEST)","538"
"Germany (DE)","02.01.2023 08:45 - 02.01.2023 09:00 (CET/CEST)","1081"
"Germany (DE)","02.01.2023 09:00 - 02.01.2023 09:15 (CET/CEST)","1736"
"Germany (DE)","02.01.2023 09:15 - 02.01.2023 09:30 (CET/CEST)","2412"
"Germany (DE)","02.01.2023 09:30 - 02.01.2023 09:45 (CET/CEST)","3076"
"Germany (DE)","02.01.2023 09:45 - 02.01.2023 10:00 (CET/CEST)","3772"
"Germany (DE)","02.01.2023 10:00 - 02.01.2023 10:15 (CET/CEST)","4388"
"Germany (DE)","02.01.2023 10:15 - 02.01.2023 10:30 (CET/CEST)","5070"
"Germany (DE)","02.01.2023 10:30 - 02.01.2023 10:45 (CET/CEST)","5729"
"Germany (DE)","02.01.2023 10:45 - 02.01.2023 11:00 (CET/CEST)","6233"
"Germany (DE)","02.01.2023 11:00 - 02.01.2023 11:15 (CET/CEST)","6751"
"Germany (DE)","02.01.2023 11:15 - 02.01.2023 11:30 (CET/CEST)","7028"
"Germany (DE)","02.01.2023 11:30 - 02.01.2023 11:45 (CET/CEST)","7218"
"Germany (DE)","02.01.2023 11:45 - 02.01.2023 12:00 (CET/CEST)","7433"
"Germany (DE)","02.01.2023 12:00 - 02.01.2023 12:15 (CET/CEST)","7503"
"Germany (DE)","02.01.2023 12:15 - 02.01.2023 12:30 (CET/CEST)","7439"
"Germany (DE)","02.01.2023 12:30 - 02.01.2023 12:45 (CET/CEST)","7340"
"Germany (DE)","02.01.2023 12:45 - 02.01.2023 13:00 (CET/CEST)","7066"
"Germany (DE)","02.01.2023 13:00 - 02.01.2023 13:15 (CET/CEST)","6616"
"Germany (DE)","02.01.2023 13:15 - 02.01.2023 13:30 (CET/CEST)","6029"
"Germany (DE)","02.01.2023 13:30 - 02.01.2023 13:45 (CET/CEST)","5479"
"Germany (DE)","02.01.2023 13:45 - 02.01.2023 14:00 (CET/CEST)","4924"
"Germany (DE)","02.01.2023 14:00 - 02.01.2023 14:15 (CET/CEST)","4248"
"Germany (DE)","02.01.2023 14:15 - 02.01.2023 14:30 (CET/CEST)","3630"
"Germany (DE)","02.01.2023 14:30 - 02.01.2023 14:45 (CET/CEST)","2921"
"Germany (DE)","02.01.2023 14:45 - 02.01.2023 15:00 (CET/CEST)","2250"
"Germany (DE)","02.01.2023 15:00 - 02.01.2023 15:15 (CET/CEST)","1674"
"Germany (DE)","02.01.2023 15:15 - 02.01.2023 15:30 (CET/CEST)","1168"
"Germany (DE)","02.01.2023 15:30 - 02.01.2023 15:45 (CET/CEST)","719"
"Germany (DE)","02.01.2023 15:45 - 02.01.2023 16:00 (CET/CEST)","375"
"Germany (DE)","02.01.2023 16:00 - 02.01.2023 16:15 (CET/CEST)","148"
"Germany (DE)","02.01.2023 16:15 - 02.01.2023 16:30 (CET/CEST)","33"
"Germany (DE)","02.01.2023 16:30 - 02.01.2023 16:45 (CET/CEST)","6"
"Germany (DE)","02.01.2023 16:45 - 02.01.2023 17:00 (CET/CEST)","3"
"Germany (DE)","02.01.2023 17:00 - 02.01.2023 17:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 17:15 - 02.01.2023 17:30 (CET/CEST)","6"
"Germany (DE)","02.01.2023 17:30 - 02.01.2023 17:45 (CET/CEST)","6"
"Germany (DE)","02.01.2023 17:45 - 02.01.2023 18:00 (CET/CEST)","2"
"Germany (DE)","02.01.2023 18:00 - 02.01.2023 18:15 (CET/CEST)","3"
"Germany (DE)","02.01.2023 18:15 - 02.01.2023 18:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 18:30 - 02.01.2023 18:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 18:45 - 02.01.2023 19:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 19:00 - 02.01.2023 19:15 (CET/CEST)","2"
"Germany (DE)","02.01.2023 19:15 - 02.01.2023 19:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 19:30 - 02.01.2023 19:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 19:45 - 02.01.2023 20:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 20:00 - 02.01.2023 20:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 20:15 - 02.01.2023 20:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 20:30 - 02.01.2023 20:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 20:45 - 02.01.2023 21:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 21:00 - 02.01.2023 21:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 21:15 - 02.01.2023 21:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 21:30 - 02.01.2023 21:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 21:45 - 02.01.2023 22:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 22:00 - 02.01.2023 22:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 22:15 - 02.01.2023 22:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 22:30 - 02.01.2023 22:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 22:45 - 02.01.2023 23:00 (CET/CEST)","1"
"Germany (DE)","02.01.2023 23:00 - 02.01.2023 23:15 (CET/CEST)","1"
"Germany (DE)","02.01.2023 23:15 - 02.01.2023 23:30 (CET/CEST)","1"
"Germany (DE)","02.01.2023 23:30 - 02.01.2023 23:45 (CET/CEST)","1"
"Germany (DE)","02.01.2023 23:45 - 03.01.2023 00:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 00:00 - 03.01.2023 00:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 00:15 - 03.01.2023 00:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 00:30 - 03.01.2023 00:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 00:45 - 03.01.2023 01:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 01:00 - 03.01.2023 01:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 01:15 - 03.01.2023 01:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 01:30 - 03.01.2023 01:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 01:45 - 03.01.2023 02:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 02:00 - 03.01.2023 02:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 02:15 - 03.01.2023 02:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 02:30 - 03.01.2023 02:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 02:45 - 03.01.2023 03:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 03:00 - 03.01.2023 03:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 03:15 - 03.01.2023 03:30 (CET/CEST)","2"
"Germany (DE)","03.01.2023 03:30 - 03.01.2023 03:45 (CET/CEST)","2"
"Germany (DE)","03.01.2023 03:45 - 03.01.2023 04:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 04:00 - 03.01.2023 04:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 04:15 - 03.01.2023 04:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 04:30 - 03.01.2023 04:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 04:45 - 03.01.2023 05:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 05:00 - 03.01.2023 05:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 05:15 - 03.01.2023 05:30 (CET/CEST)","2"
"Germany (DE)","03.01.2023 05:30 - 03.01.2023 05:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 05:45 - 03.01.2023 06:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 06:00 - 03.01.2023 06:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 06:15 - 03.01.2023 06:30 (CET/CEST)","2"
"Germany (DE)","03.01.2023 06:30 - 03.01.2023 06:45 (CET/CEST)","2"
"Germany (DE)","03.01.2023 06:45 - 03.01.2023 07:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 07:00 - 03.01.2023 07:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 07:15 - 03.01.2023 07:30 (CET/CEST)","2"
"Germany (DE)","03.01.2023 07:30 - 03.01.2023 07:45 (CET/CEST)","2"
"Germany (DE)","03.01.2023 07:45 - 03.01.2023 08:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 08:00 - 03.01.2023 08:15 (CET/CEST)","4"
"Germany (DE)","03.01.2023 08:15 - 03.01.2023 08:30 (CET/CEST)","28"
"Germany (DE)","03.01.2023 08:30 - 03.01.2023 08:45 (CET/CEST)","225"
"Germany (DE)","03.01.2023 08:45 - 03.01.2023 09:00 (CET/CEST)","674"
