"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2016 00:00 - 01.01.2016 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 00:15 - 01.01.2016 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 00:30 - 01.01.2016 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 00:45 - 01.01.2016 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 01:00 - 01.01.2016 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 01:15 - 01.01.2016 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 01:30 - 01.01.2016 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 01:45 - 01.01.2016 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 02:00 - 01.01.2016 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 02:15 - 01.01.2016 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 02:30 - 01.01.2016 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 02:45 - 01.01.2016 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 03:00 - 01.01.2016 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 03:15 - 01.01.2016 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 03:30 - 01.01.2016 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 03:45 - 01.01.2016 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 04:00 - 01.01.2016 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 04:15 - 01.01.2016 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 04:30 - 01.01.2016 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 04:45 - 01.01.2016 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 05:00 - 01.01.2016 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 05:15 - 01.01.2016 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 05:30 - 01.01.2016 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 05:45 - 01.01.2016 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 06:00 - 01.01.2016 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 06:15 - 01.01.2016 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 06:30 - 01.01.2016 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 06:45 - 01.01.2016 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 07:00 - 01.01.2016 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 07:15 - 01.01.2016 07:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 07:30 - 01.01.2016 07:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 07:45 - 01.01.2016 08:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 08:00 - 01.01.2016 08:15 (CET/CEST)","6"
"Germany (DE)","01.01.2016 08:15 - 01.01.2016 08:30 (CET/CEST)","40"
"Germany (DE)","01.01.2016 08:30 - 01.01.2016 08:45 (CET/CEST)","147"
"Germany (DE)","01.01.2016 08:45 - 01.01.2016 09:00 (CET/CEST)","355"
"Germany (DE)","01.01.2016 09:00 - 01.01.2016 09:15 (CET/CEST)","592"
"Germany (DE)","01.01.2016 09:15 - 01.01.2016 09:30 (CET/CEST)","785"
"Germany (DE)","01.01.2016 09:30 - 01.01.2016 09:45 (CET/CEST)","1031"
"Germany (DE)","01.01.2016 09:45 - 01.01.2016 10:00 (CET/CEST)","1511"
"Germany (DE)","01.01.2016 10:00 - 01.01.2016 10:15 (CET/CEST)","1921"
"Germany (DE)","01.01.2016 10:15 - 01.01.2016 10:30 (CET/CEST)","2361"
"Germany (DE)","01.01.2016 10:30 - 01.01.2016 10:45 (CET/CEST)","2759"
"Germany (DE)","01.01.2016 10:45 - 01.01.2016 11:00 (CET/CEST)","3179"
"Germany (DE)","01.01.2016 11:00 - 01.01.2016 11:15 (CET/CEST)","3487"
"Germany (DE)","01.01.2016 11:15 - 01.01.2016 11:30 (CET/CEST)","3701"
"Germany (DE)","01.01.2016 11:30 - 01.01.2016 11:45 (CET/CEST)","3858"
"Germany (DE)","01.01.2016 11:45 - 01.01.2016 12:00 (CET/CEST)","4041"
"Germany (DE)","01.01.2016 12:00 - 01.01.2016 12:15 (CET/CEST)","4119"
"Germany (DE)","01.01.2016 12:15 - 01.01.2016 12:30 (CET/CEST)","4130"
"Germany (DE)","01.01.2016 12:30 - 01.01.2016 12:45 (CET/CEST)","4067"
"Germany (DE)","01.01.2016 12:45 - 01.01.2016 13:00 (CET/CEST)","4111"
"Germany (DE)","01.01.2016 13:00 - 01.01.2016 13:15 (CET/CEST)","3959"
"Germany (DE)","01.01.2016 13:15 - 01.01.2016 13:30 (CET/CEST)","3856"
"Germany (DE)","01.01.2016 13:30 - 01.01.2016 13:45 (CET/CEST)","3611"
"Germany (DE)","01.01.2016 13:45 - 01.01.2016 14:00 (CET/CEST)","3346"
"Germany (DE)","01.01.2016 14:00 - 01.01.2016 14:15 (CET/CEST)","3008"
"Germany (DE)","01.01.2016 14:15 - 01.01.2016 14:30 (CET/CEST)","2598"
"Germany (DE)","01.01.2016 14:30 - 01.01.2016 14:45 (CET/CEST)","2213"
"Germany (DE)","01.01.2016 14:45 - 01.01.2016 15:00 (CET/CEST)","1821"
"Germany (DE)","01.01.2016 15:00 - 01.01.2016 15:15 (CET/CEST)","1379"
"Germany (DE)","01.01.2016 15:15 - 01.01.2016 15:30 (CET/CEST)","953"
"Germany (DE)","01.01.2016 15:30 - 01.01.2016 15:45 (CET/CEST)","602"
"Germany (DE)","01.01.2016 15:45 - 01.01.2016 16:00 (CET/CEST)","315"
"Germany (DE)","01.01.2016 16:00 - 01.01.2016 16:15 (CET/CEST)","112"
"Germany (DE)","01.01.2016 16:15 - 01.01.2016 16:30 (CET/CEST)","21"
"Germany (DE)","01.01.2016 16:30 - 01.01.2016 16:45 (CET/CEST)","4"
"Germany (DE)","01.01.2016 16:45 - 01.01.2016 17:00 (CET/CEST)","1"
"Germany (DE)","01.01.2016 17:00 - 01.01.2016 17:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 17:15 - 01.01.2016 17:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 17:30 - 01.01.2016 17:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 17:45 - 01.01.2016 18:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 18:00 - 01.01.2016 18:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 18:15 - 01.01.2016 18:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 18:30 - 01.01.2016 18:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 18:45 - 01.01.2016 19:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 19:00 - 01.01.2016 19:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 19:15 - 01.01.2016 19:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 19:30 - 01.01.2016 19:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 19:45 - 01.01.2016 20:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 20:00 - 01.01.2016 20:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 20:15 - 01.01.2016 20:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 20:30 - 01.01.2016 20:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 20:45 - 01.01.2016 21:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 21:00 - 01.01.2016 21:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 21:15 - 01.01.2016 21:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 21:30 - 01.01.2016 21:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 21:45 - 01.01.2016 22:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 22:00 - 01.01.2016 22:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 22:15 - 01.01.2016 22:30 (CET/CEST)","0"
"Germany (DE)","01.01.2016 22:30 - 01.01.2016 22:45 (CET/CEST)","0"
"Germany (DE)","01.01.2016 22:45 - 01.01.2016 23:00 (CET/CEST)","0"
"Germany (DE)","01.01.2016 23:00 - 01.01.2016 23:15 (CET/CEST)","0"
"Germany (DE)","01.01.2016 23:15 - 01.01.2016 23:30 (CET/CEST)","0"
