"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2020 00:00 - 01.01.2020 00:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 00:15 - 01.01.2020 00:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 00:30 - 01.01.2020 00:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 00:45 - 01.01.2020 01:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 01:00 - 01.01.2020 01:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 01:15 - 01.01.2020 01:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 01:30 - 01.01.2020 01:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 01:45 - 01.01.2020 02:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 02:00 - 01.01.2020 02:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 02:15 - 01.01.2020 02:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 02:30 - 01.01.2020 02:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 02:45 - 01.01.2020 03:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 03:00 - 01.01.2020 03:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 03:15 - 01.01.2020 03:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 03:30 - 01.01.2020 03:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 03:45 - 01.01.2020 04:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 04:00 - 01.01.2020 04:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 04:15 - 01.01.2020 04:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 04:30 - 01.01.2020 04:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 04:45 - 01.01.2020 05:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 05:00 - 01.01.2020 05:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 05:15 - 01.01.2020 05:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 05:30 - 01.01.2020 05:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 05:45 - 01.01.2020 06:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 06:00 - 01.01.2020 06:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 06:15 - 01.01.2020 06:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 06:30 - 01.01.2020 06:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 06:45 - 01.01.2020 07:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 07:00 - 01.01.2020 07:15 (CET/CEST)","0"
"Germany (DE)","01.01.2020 07:15 - 01.01.2020 07:30 (CET/CEST)","0"
"Germany (DE)","01.01.2020 07:30 - 01.01.2020 07:45 (CET/CEST)","0"
"Germany (DE)","01.01.2020 07:45 - 01.01.2020 08:00 (CET/CEST)","0"
"Germany (DE)","01.01.2020 08:00 - 01.01.2020 08:15 (CET/CEST)","7"
"Germany (DE)","01.01.2020 08:15 - 01.01.2020 08:30 (CET/CEST)","103"
"Germany (DE)","01.01.2020 08:30 - 01.01.2020 08:45 (CET/CEST)","417"
"Germany (DE)","01.01.2020 08:45 - 01.01.2020 09:00 (CET/CEST)","960"
"Germany (DE)","01.01.2020 09:00 - 01.01.2020 09:15 (CET/CEST)","1712"
"Germany (DE)","01.01.2020 09:15 - 01.01.2020 09:30 (CET/CEST)","2609"
"Germany (DE)","01.01.2020 09:30 - 01.01.2020 09:45 (CET/CEST)","3510"
