"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2022 00:00 - 01.01.2022 00:15 (CET/CEST)","2"
"Germany (DE)","01.01.2022 00:15 - 01.01.2022 00:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 00:30 - 01.01.2022 00:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 00:45 - 01.01.2022 01:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 01:00 - 01.01.2022 01:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 01:15 - 01.01.2022 01:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 01:30 - 01.01.2022 01:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 01:45 - 01.01.2022 02:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 02:00 - 01.01.2022 02:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 02:15 - 01.01.2022 02:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 02:30 - 01.01.2022 02:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 02:45 - 01.01.2022 03:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 03:00 - 01.01.2022 03:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 03:15 - 01.01.2022 03:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 03:30 - 01.01.2022 03:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 03:45 - 01.01.2022 04:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 04:00 - 01.01.2022 04:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 04:15 - 01.01.2022 04:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 04:30 - 01.01.2022 04:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 04:45 - 01.01.2022 05:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 05:00 - 01.01.2022 05:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 05:15 - 01.01.2022 05:30 (CET/CEST)","2"
"Germany (DE)","01.01.2022 05:30 - 01.01.2022 05:45 (CET/CEST)","2"
"Germany (DE)","01.01.2022 05:45 - 01.01.2022 06:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 06:00 - 01.01.2022 06:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 06:15 - 01.01.2022 06:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 06:30 - 01.01.2022 06:45 (CET/CEST)","1"
"Germany (DE)","01.01.2022 06:45 - 01.01.2022 07:00 (CET/CEST)","1"
"Germany (DE)","01.01.2022 07:00 - 01.01.2022 07:15 (CET/CEST)","1"
"Germany (DE)","01.01.2022 07:15 - 01.01.2022 07:30 (CET/CEST)","1"
"Germany (DE)","01.01.2022 07:30 - 01.01.2022 07:45 (CET/CEST)","2"
"Germany (DE)","01.01.2022 07:45 - 01.01.2022 08:00 (CET/CEST)","2"
"Germany (DE)","01.01.2022 08:00 - 01.01.2022 08:15 (CET/CEST)","5"
"Germany (DE)","01.01.2022 08:15 - 01.01.2022 08:30 (CET/CEST)","55"
"Germany (DE)","01.01.2022 08:30 - 01.01.2022 08:45 (CET/CEST)","273"
"Germany (DE)","01.01.2022 08:45 - 01.01.2022 09:00 (CET/CEST)","610"
