"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2024 17:15 - 01.01.2024 17:30 (CET/CEST)","3"
"Germany (DE)","01.01.2024 17:30 - 01.01.2024 17:45 (CET/CEST)","3"
"Germany (DE)","01.01.2024 17:45 - 01.01.2024 18:00 (CET/CEST)","3"
"Germany (DE)","01.01.2024 18:00 - 01.01.2024 18:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 18:15 - 01.01.2024 18:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 18:30 - 01.01.2024 18:45 (CET/CEST)","3"
"Germany (DE)","01.01.2024 18:45 - 01.01.2024 19:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 19:00 - 01.01.2024 19:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 19:15 - 01.01.2024 19:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 19:30 - 01.01.2024 19:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 19:45 - 01.01.2024 20:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 20:00 - 01.01.2024 20:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 20:15 - 01.01.2024 20:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 20:30 - 01.01.2024 20:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 20:45 - 01.01.2024 21:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 21:00 - 01.01.2024 21:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 21:15 - 01.01.2024 21:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 21:30 - 01.01.2024 21:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 21:45 - 01.01.2024 22:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 22:00 - 01.01.2024 22:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 22:15 - 01.01.2024 22:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 22:30 - 01.01.2024 22:45 (CET/CEST)","2"
